repeat,dataset,stage1_cases,stage2_random_cases,max_samples,baseline_best_score,dedup_best_score,best_score_diff_dedup_minus_baseline,baseline_llm_calls,dedup_llm_calls,baseline_sandbox_evals,dedup_sandbox_evals,baseline_api_efficiency,dedup_api_efficiency,baseline_scored_rows,dedup_scored_rows,baseline_failed_rows,dedup_failed_rows,baseline_dedup_hits,dedup_dedup_hits,baseline_dedup_intercept_rate,dedup_dedup_intercept_rate,baseline_eval_failed,dedup_eval_failed,baseline_stage2_collision_reject_rate,dedup_stage2_collision_reject_rate,baseline_sample_time_total_sec,dedup_sample_time_total_sec,baseline_evaluate_time_total_sec,dedup_evaluate_time_total_sec,baseline_pipeline_time_total_sec,dedup_pipeline_time_total_sec,pipeline_time_saved_sec,pipeline_time_saved_ratio,baseline_wall_time_total_sec,dedup_wall_time_total_sec,time_saved_sec,time_saved_ratio,baseline_target_score,baseline_target_reached,baseline_calls_to_target,baseline_sandbox_evals_to_target,baseline_pipeline_time_to_target_sec,dedup_target_score,dedup_target_reached,dedup_calls_to_target,dedup_sandbox_evals_to_target,dedup_pipeline_time_to_target_sec,target_calls_saved,target_evals_saved,target_time_saved_sec,target_time_saved_ratio
1,OR_u120+OR_u250+OR_u500+OR_u1000+OR_t60+OR_t120+OR_t249+OR_t501,15,256,20,-140.53125,-76.8,63.73125,20,20,20,0,1.0,,16,7,4,13,0,120,0.0,6.0,4,13,,0.04,129.4062795639038,161.5203561782837,685.6647579669952,299.73766922950745,815.071037530899,461.25802540779114,353.8130121231079,0.4340885589493112,856.5999338626862,482.0025806427002,374.59735321998596,0.4373072404182958,,,,,,,,,,,,,,
2,OR_u120+OR_u250+OR_u500+OR_u1000+OR_t60+OR_t120+OR_t249+OR_t501,15,256,20,-140.53125,-68.4,72.13125,20,20,20,0,1.0,,15,10,5,10,0,123,0.0,6.15,5,10,,0.031496062992125984,148.8030345439911,147.45416510105133,567.0690803527832,164.26248955726624,715.8721148967743,311.71665465831757,404.1554602384567,0.5645637702995796,756.5680150985718,340.9164397716522,415.65157532691956,0.5493908902199165,,,,,,,,,,,,,,
3,OR_u120+OR_u250+OR_u500+OR_u1000+OR_t60+OR_t120+OR_t249+OR_t501,15,256,20,-168.3125,-75.0,93.3125,20,20,20,0,1.0,,12,13,8,7,0,128,0.0,6.4,8,7,,0.030303030303030304,135.49544715881348,106.48518919944763,530.7388062477112,154.10506629943848,666.2342534065247,260.5902554988861,405.64399790763855,0.6088609161620538,705.5781667232513,279.8647449016571,425.71342182159424,0.6033540178810148,,,,,,,,,,,,,,
4,OR_u120+OR_u250+OR_u500+OR_u1000+OR_t60+OR_t120+OR_t249+OR_t501,15,256,20,-100.39285714285714,-64.9,35.49285714285713,20,20,20,0,1.0,,13,8,7,12,0,123,0.0,6.15,7,12,,0.046511627906976744,133.78944540023804,139.06217098236084,891.6524217128754,164.86019158363342,1025.4418671131134,303.92236256599426,721.5195045471191,0.703618145198601,1079.0237257480621,322.82278847694397,756.2009372711182,0.7008195642286379,,,,,,,,,,,,,,
5,OR_u120+OR_u250+OR_u500+OR_u1000+OR_t60+OR_t120+OR_t249+OR_t501,15,256,20,-140.22500000000002,-54.25,85.97500000000002,20,20,20,0,1.0,,10,11,10,9,0,129,0.0,6.45,10,9,,0.015267175572519083,118.1667971611023,131.86249446868896,522.0735146999359,133.0641369819641,640.2403118610382,264.9266314506531,375.31368041038513,0.5862075121752808,679.6759934425354,282.972708940506,396.7032845020294,0.5836652880628327,,,,,,,,,,,,,,
6,OR_u120+OR_u250+OR_u500+OR_u1000+OR_t60+OR_t120+OR_t249+OR_t501,15,256,20,-140.53125,-63.0,77.53125,20,20,20,0,1.0,,11,15,9,5,0,128,0.0,6.4,9,5,,0.03759398496240601,160.09473729133606,157.86094307899475,658.1267023086548,177.16769433021545,818.2214395999908,335.0286374092102,483.19280219078064,0.5905403828418407,873.5080125331879,354.08255314826965,519.4254593849182,0.5946430392533844,,,,,,,,,,,,,,
